Id,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response,Complain,Age,Total_Children,Total_Spending,Total_Purchases,Avg_Spending_Per_Purchase,Income_Per_Capita,Customer_Days,Income_Category,Spending_Category
9264,1986,Graduation,Married,79529.0,0,0,2014-04-27,1,423,42,706,73,197,197,1,4,8,9,2,0,0,38,0,1638,22,74.45,79529.0,3536,High,High Spender
5824,1972,PhD,Together,34578.0,2,1,2014-11-04,1,7,0,1,0,0,0,1,1,0,2,6,0,0,52,3,8,4,2.0,8644.5,3345,Medium,Low Spender
5794,1974,PhD,Married,46374.0,0,1,2014-03-17,1,408,0,21,0,0,17,3,7,1,7,8,1,0,50,1,446,18,24.78,23187.0,3577,Medium,Medium Spender
3068,1990,Graduation,Married,18351.0,0,0,2013-10-29,1,1,12,9,0,14,7,1,2,0,3,7,0,0,34,0,43,6,7.17,18351.0,3716,Low,Low Spender
7962,1987,PhD,Single,95169.0,0,0,2013-09-10,1,1285,21,449,106,20,20,1,4,3,4,1,1,0,37,0,1901,12,158.42,95169.0,3765,High,High Spender
2681,1984,2n Cycle,Married,65370.0,0,0,2013-01-08,1,71,22,112,138,89,29,1,2,3,13,1,0,0,40,0,461,19,24.26,65370.0,4010,High,Medium Spender
10141,1960,Master,Divorced,39228.0,0,0,2013-10-05,1,7,1,6,0,3,3,1,0,0,3,4,0,0,64,0,20,4,5.0,39228.0,3740,Medium,Low Spender
3725,1961,PhD,Single,84865.0,0,0,2013-09-05,1,1248,16,349,43,16,16,1,2,4,9,4,1,0,63,0,1688,16,105.5,84865.0,3770,High,High Spender
3767,1968,Graduation,Married,61314.0,0,1,2013-04-25,1,378,0,189,97,172,172,2,5,5,12,3,0,0,56,1,1008,24,42.0,30657.0,3903,High,High Spender
5585,1972,Graduation,Single,21359.0,1,0,2013-04-20,1,12,2,17,6,1,10,2,2,0,3,8,1,0,52,1,48,7,6.86,10679.5,3908,Low,Low Spender
7030,1955,PhD,Married,66465.0,0,1,2013-03-30,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,69,1,1485,35,42.43,33232.5,3929,High,High Spender
1524,1983,2n Cycle,Single,81698.0,0,0,2013-01-03,1,709,45,115,30,160,45,1,8,2,5,5,1,0,41,0,1104,16,69.0,81698.0,4015,High,High Spender
3657,1986,Graduation,Single,39146.0,1,0,2013-02-14,1,94,1,33,13,12,12,3,4,0,4,8,0,0,38,1,165,11,15.0,19573.0,3973,Medium,Medium Spender
5740,1970,2n Cycle,Divorced,25959.0,1,1,2013-02-14,1,4,2,12,7,5,26,2,1,2,2,6,1,0,54,2,56,7,8.0,8653.0,3973,Low,Low Spender
9595,1961,Graduation,Together,64260.0,0,0,2013-11-01,1,539,169,816,20,0,30,1,4,5,4,3,1,0,63,0,1574,14,112.43,64260.0,3713,High,High Spender
3158,1973,Graduation,Married,32300.0,1,0,2013-03-01,1,13,3,6,6,5,6,1,1,0,3,8,0,0,51,1,39,5,7.8,16150.0,3958,Medium,Low Spender
5114,1965,Master,Married,74806.0,0,1,2012-12-19,1,670,9,249,0,28,9,2,5,4,5,4,0,0,59,1,965,16,60.31,37403.0,4030,High,Medium Spender
340,1970,Graduation,Divorced,72967.0,0,1,2012-12-15,1,158,35,179,0,0,125,2,7,2,8,5,1,0,54,1,497,19,26.16,36483.5,4034,High,Medium Spender
8805,1960,Graduation,Single,48904.0,0,1,2012-02-12,1,283,10,38,0,13,27,4,7,2,4,8,0,0,64,1,371,17,21.82,24452.0,4341,Medium,Medium Spender
1241,1984,2n Cycle,Married,14796.0,1,0,2012-09-17,1,13,3,8,7,4,16,2,1,0,3,9,1,0,40,1,51,6,8.5,7398.0,4123,Low,Low Spender
1402,1954,Master,Married,66991.0,0,0,2012-11-09,1,496,36,460,189,60,12,3,4,8,6,3,0,0,70,0,1253,21,59.67,66991.0,4070,High,High Spender
7264,1978,2n Cycle,Single,52195.0,2,1,2014-12-05,2,12,0,4,0,0,1,1,1,0,2,8,0,0,46,3,17,4,4.25,13048.75,3314,Medium,Low Spender
1619,1956,Graduation,Married,90369.0,0,0,2014-04-28,2,292,51,981,224,23,17,1,4,6,6,1,1,0,68,0,1588,17,93.41,90369.0,3535,High,High Spender
6398,1974,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,0,0,50,1,50,8,6.25,9196.5,3565,Low,Low Spender
1857,1952,Graduation,Single,47139.0,1,1,2014-06-03,2,46,0,12,0,2,23,2,2,1,2,7,1,0,72,2,83,7,11.86,15713.0,3499,Medium,Low Spender
4877,1973,Master,Married,38576.0,0,1,2014-04-03,2,34,0,7,0,0,0,1,1,0,3,7,0,0,51,1,41,5,8.2,19288.0,3560,Medium,Low Spender
3066,1975,PhD,Together,61905.0,0,1,2014-04-02,2,167,0,43,6,2,13,2,4,2,4,5,0,0,49,1,231,12,19.25,30952.5,3561,High,Medium Spender
10286,1962,Graduation,Married,83715.0,0,0,2014-03-02,2,318,8,407,150,35,8,1,2,8,13,0,0,0,62,0,926,24,38.58,83715.0,3592,High,Medium Spender
1992,1964,Graduation,Married,60597.0,0,1,2014-01-01,2,522,0,257,32,16,66,4,2,2,8,7,1,0,60,1,893,16,55.81,30298.5,3652,High,Medium Spender
4246,1982,Master,Single,6560.0,0,0,2013-12-12,2,67,11,26,4,3,262,0,1,0,1,17,0,0,42,0,373,2,186.5,6560.0,3672,Low,Medium Spender
10623,1961,Master,Together,48330.0,0,1,2013-11-15,2,28,0,4,0,0,0,1,1,0,3,5,0,0,63,1,32,5,6.4,24165.0,3699,Medium,Low Spender
4867,1968,PhD,Single,38236.0,1,1,2013-09-20,2,58,0,18,2,0,10,4,3,0,4,7,0,0,56,2,88,11,8.0,12745.33,3755,Medium,Low Spender
3112,1977,Master,Married,22701.0,1,0,2013-05-09,2,2,4,9,0,4,5,1,1,0,3,5,0,0,47,1,24,5,4.8,11350.5,3889,Low,Low Spender
4865,1974,Master,Divorced,53367.0,1,1,2013-08-31,2,229,7,140,10,3,11,7,5,1,8,7,1,0,50,2,400,21,19.05,17789.0,3775,Medium,Medium Spender
6287,1986,Graduation,Together,34728.0,1,0,2013-07-30,2,14,0,16,0,0,6,1,1,1,2,6,1,0,38,1,36,5,7.2,17364.0,3807,Medium,Low Spender
4405,1956,Master,Married,63915.0,0,2,2013-07-30,2,622,7,115,30,0,15,2,6,3,12,5,0,0,68,2,789,23,34.3,21305.0,3807,High,Medium Spender
5332,1960,2n Cycle,Married,82504.0,0,0,2013-07-27,2,362,50,431,134,35,54,1,3,6,7,1,0,0,64,0,1066,17,62.71,82504.0,3810,High,High Spender
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,1,0,52,2,73,9,8.11,12859.33,3845,Medium,Low Spender
9080,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,4,22,3,3,3,3,3,0,3,8,0,0,52,2,73,9,8.11,12859.33,3845,Medium,Low Spender
1772,1975,PhD,Married,79174.0,0,0,2013-11-01,2,1074,37,518,193,92,129,1,5,6,7,2,1,0,49,0,2043,19,107.53,79174.0,3713,High,High Spender
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-05-01,2,983,76,184,180,138,27,1,6,3,4,7,0,0,62,1,1588,14,113.43,40987.5,3897,High,High Spender
5510,1977,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,0,0,47,1,441,16,27.56,21631.5,4058,Medium,Medium Spender
3887,1970,Graduation,Single,27242.0,1,0,2012-11-11,2,3,17,26,20,1,39,2,2,0,3,9,1,0,54,1,106,7,15.14,13621.0,4068,Low,Medium Spender
7022,1971,Graduation,Married,76445.0,1,0,2012-09-28,2,739,107,309,140,80,35,1,2,5,13,6,0,0,53,1,1410,21,67.14,38222.5,4112,High,High Spender
9999,1965,Graduation,Together,75276.0,0,0,2012-09-27,2,610,105,125,137,42,21,1,9,4,9,5,0,0,59,0,1040,23,45.22,75276.0,4113,High,High Spender
10352,1963,Graduation,Widow,34213.0,1,1,2012-07-09,2,50,4,28,6,3,26,3,3,1,2,9,1,0,61,2,117,9,13.0,11404.33,4193,Medium,Medium Spender
7919,1976,PhD,Together,72335.0,0,0,2012-08-13,2,1285,105,653,28,21,0,1,10,4,8,8,1,0,48,0,2092,23,90.96,72335.0,4158,High,High Spender
4114,1964,Master,Married,79143.0,0,0,2012-11-08,2,650,37,780,27,167,32,1,6,9,13,3,0,0,60,0,1693,29,58.38,79143.0,4071,High,High Spender
7990,1947,Graduation,Married,27469.0,0,0,2012-02-08,2,9,1,2,3,2,0,1,0,0,3,6,0,0,77,0,17,4,4.25,27469.0,4345,Low,Low Spender
9888,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,55,0,1091,16,68.19,68695.0,3477,High,High Spender
4399,1969,Graduation,Together,68695.0,0,0,2014-06-25,3,458,81,356,106,50,40,1,4,4,7,2,0,0,55,0,1091,16,68.19,68695.0,3477,High,High Spender
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,0,67,1,372,17,21.88,25194.0,3505,Medium,Medium Spender
4785,1970,PhD,Together,77622.0,0,2,2014-04-14,3,520,7,154,19,0,14,2,6,3,11,3,0,0,54,2,714,22,32.45,25874.0,3549,High,Medium Spender
8461,1962,Graduation,Divorced,46102.0,2,1,2014-10-03,3,14,0,1,0,0,1,1,1,0,2,7,0,0,62,3,16,4,4.0,11525.5,3377,Medium,Low Spender
3878,1980,2n Cycle,Single,31859.0,1,0,2014-02-27,3,3,4,7,15,8,11,1,1,0,3,7,0,0,44,1,48,5,9.6,15929.5,3595,Medium,Low Spender
9612,1987,2n Cycle,Single,23830.0,0,0,2014-07-02,3,1,8,6,4,8,16,1,1,0,3,7,0,0,37,0,43,5,8.6,23830.0,3470,Low,Low Spender
4098,1973,Graduation,Married,24639.0,1,1,2014-01-28,3,20,3,16,0,4,1,3,2,0,4,6,0,0,51,2,44,9,4.89,8213.0,3625,Low,Low Spender
158,1945,PhD,Together,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,1,0,79,0,1196,17,70.35,71604.0,3697,High,High Spender
3896,1984,Graduation,Married,27255.0,1,0,2013-07-11,3,22,1,11,0,1,2,1,1,0,3,7,0,0,40,1,37,5,7.4,13627.5,3826,Low,Low Spender
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,0,47,1,162,9,18.0,27687.5,3728,Medium,Medium Spender
4002,1960,PhD,Married,77037.0,0,1,2013-10-13,3,463,96,333,168,53,10,1,7,7,12,3,0,0,64,1,1123,27,41.59,38518.5,3732,High,High Spender
10914,1970,Graduation,Single,24163.0,1,1,2013-12-10,3,4,1,7,2,1,2,2,1,0,3,4,0,0,54,2,17,6,2.83,8054.33,3674,Low,Low Spender
7279,1969,PhD,Together,69476.0,0,0,2013-09-30,3,260,86,559,63,9,67,1,4,6,4,2,0,0,55,0,1044,15,69.6,69476.0,3745,High,High Spender
10582,1979,Graduation,Married,72063.0,0,1,2013-03-07,3,180,32,348,76,32,90,2,5,2,12,2,0,0,45,1,758,21,36.1,36031.5,3952,High,Medium Spender
4470,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,62,1,140,8,17.5,29323.0,3739,Medium,Medium Spender
6183,1962,Master,Married,58646.0,0,1,2013-10-06,3,62,1,44,6,5,22,1,2,1,4,4,0,0,62,1,140,8,17.5,29323.0,3739,Medium,Medium Spender
6379,1949,Master,Widow,47570.0,1,1,2013-05-29,3,67,1,20,0,2,31,3,2,2,2,7,1,0,75,2,121,9,13.44,15856.67,3869,Medium,Medium Spender
8601,1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,44,1,1395,21,66.43,40005.5,3899,High,High Spender
4827,1956,PhD,Single,54998.0,0,1,2013-10-03,3,154,22,202,39,30,8,5,4,2,9,4,1,0,68,1,455,20,22.75,27499.0,3742,Medium,Medium Spender
6715,1948,PhD,Single,60200.0,0,1,2013-02-01,3,502,19,132,0,6,26,6,6,2,11,6,0,0,76,1,685,25,27.4,30100.0,3986,High,Medium Spender
10676,1982,Graduation,Married,63211.0,0,0,2012-02-11,3,145,193,459,205,26,145,2,3,8,7,2,1,0,42,0,1173,20,58.65,63211.0,4342,High,High Spender
1041,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,51,1,424,19,22.32,24216.0,4092,Medium,Medium Spender
492,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,0,0,51,1,424,19,22.32,24216.0,4092,Medium,Medium Spender
11133,1973,PhD,Single,48432.0,0,1,2012-10-18,3,322,3,50,4,3,42,5,7,1,6,8,1,0,51,1,424,19,22.32,24216.0,4092,Medium,Medium Spender
4491,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,75,2,1178,28,42.07,20948.33,4374,High,High Spender
873,1949,Master,Married,62845.0,1,1,2012-01-10,3,1099,0,45,0,0,34,11,3,4,10,8,1,0,75,2,1178,28,42.07,20948.33,4374,High,High Spender
1631,1965,PhD,Together,65220.0,0,0,2012-03-09,3,890,63,292,0,25,12,4,8,4,7,6,1,0,59,0,1282,23,55.74,65220.0,4315,High,High Spender
8278,1990,PhD,Married,74214.0,0,0,2012-08-26,3,863,83,547,86,99,33,1,8,2,5,5,0,0,34,0,1711,16,106.94,74214.0,4145,High,High Spender
6815,1980,2n Cycle,Married,96547.0,0,0,2014-05-23,4,448,21,125,52,101,62,0,7,6,8,2,1,0,44,0,809,21,38.52,96547.0,3510,High,Medium Spender
254,1955,Graduation,Together,53863.0,0,1,2014-05-17,4,399,4,30,6,4,30,3,7,1,7,7,0,0,69,1,473,18,26.28,26931.5,3516,Medium,Medium Spender
1349,1970,Graduation,Married,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,0,54,2,148,8,18.5,16815.67,3542,Medium,Medium Spender
2534,1953,Graduation,Married,37716.0,0,1,2014-04-21,4,97,1,41,6,2,41,2,4,1,3,7,0,0,71,1,188,10,18.8,18858.0,3542,Medium,Medium Spender
2130,1982,Graduation,Together,45203.0,2,0,2014-03-23,4,35,3,67,10,8,24,1,3,1,3,6,1,0,42,2,147,8,18.38,15067.67,3571,Medium,Medium Spender
2296,1975,Master,Married,37368.0,1,0,2013-12-16,4,3,2,11,2,2,10,1,1,0,2,6,0,0,49,1,30,4,7.5,18684.0,3668,Medium,Low Spender
3799,1955,Graduation,Married,67225.0,0,1,2013-11-26,4,315,35,322,46,7,143,3,7,2,11,5,0,0,69,1,868,23,37.74,33612.5,3688,High,Medium Spender
11084,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,1,0,48,1,1053,17,61.94,32552.0,3700,High,High Spender
5172,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,48,1,1053,17,61.94,32552.0,3700,High,High Spender
9504,1949,Master,Married,81698.0,0,0,2013-06-11,4,179,28,520,111,123,47,1,3,8,13,1,1,0,75,0,1008,25,40.32,81698.0,3856,High,High Spender
850,1968,Graduation,Single,70566.0,0,1,2013-06-10,4,381,28,215,84,28,21,2,6,5,9,3,0,0,56,1,757,22,34.41,35283.0,3857,High,Medium Spender
4477,1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,66,1,653,18,36.28,34548.0,3748,High,Medium Spender
1945,1962,Graduation,Married,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,0,0,62,1,1400,21,66.67,35717.0,3757,High,High Spender
7685,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,46,1,78,7,11.14,16519.5,3766,Medium,Low Spender
6310,1978,Graduation,Married,33039.0,1,0,2013-09-09,4,30,8,12,8,8,12,1,2,0,4,5,0,0,46,1,78,7,11.14,16519.5,3766,Medium,Low Spender
10832,1958,Graduation,Together,46610.0,0,0,2013-07-18,4,288,10,30,4,10,125,1,6,1,6,6,0,0,66,0,467,14,33.36,46610.0,3819,Medium,Medium Spender
3025,1958,Graduation,Single,49967.0,0,1,2013-08-07,4,212,6,69,4,12,3,3,6,1,5,7,0,0,66,1,306,15,20.4,24983.5,3799,Medium,Medium Spender
2404,1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,48,2,257,14,18.36,17786.33,3871,Medium,Medium Spender
8581,1971,Master,Married,49505.0,1,1,2013-05-03,4,604,0,100,19,0,28,9,10,2,8,8,0,0,53,2,751,29,25.9,16501.67,3895,Medium,Medium Spender
8755,1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,78,0,1196,18,66.44,68657.0,3967,High,High Spender
10177,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,70,1,1338,20,66.9,36035.5,3973,High,High Spender
2429,1954,Graduation,Divorced,72071.0,0,1,2013-02-14,4,531,69,300,150,138,150,3,5,4,8,2,0,0,70,1,1338,20,66.9,36035.5,3973,High,High Spender
8920,1967,Master,Single,59235.0,1,0,2013-12-01,4,448,40,469,80,0,91,3,11,2,12,7,0,0,57,1,1128,28,40.29,29617.5,3683,Medium,High Spender
8430,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,67,1,22,4,5.5,10997.0,4025,Low,Low Spender
8619,1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,67,1,22,4,5.5,10997.0,4025,Low,Low Spender
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,67,3,603,29,20.79,12845.38,4060,Medium,Medium Spender
7233,1972,Graduation,Married,69209.0,0,0,2012-09-17,4,496,32,849,229,48,128,2,5,3,6,4,0,0,52,0,1782,16,111.38,69209.0,4123,High,High Spender
6678,1989,Graduation,Together,31928.0,1,0,2014-03-28,5,33,4,24,4,2,5,2,3,0,4,7,0,0,35,1,72,9,8.0,15964.0,3566,Medium,Low Spender
830,1987,PhD,Single,74004.0,0,0,2014-02-24,5,784,48,560,42,176,48,1,4,6,4,3,1,0,37,0,1658,15,110.53,74004.0,3598,High,High Spender
6365,1987,2n Cycle,Married,30390.0,0,0,2013-02-09,5,10,12,12,25,1,20,1,2,0,3,6,0,0,37,0,80,6,13.33,30390.0,3978,Medium,Low Spender
6770,1985,Graduation,Married,21355.0,1,0,2013-08-20,5,5,13,14,0,5,31,2,2,1,2,6,1,0,39,1,68,7,9.71,10677.5,3786,Low,Low Spender
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,55,1,16,4,4.0,13152.0,3844,Low,Low Spender
1031,1989,2n Cycle,Married,85710.0,0,0,2013-05-05,5,600,20,350,29,30,33,1,6,9,10,2,0,0,35,0,1062,26,40.85,85710.0,3893,High,High Spender
10089,1974,Graduation,Divorced,102692.0,0,0,2013-05-04,5,168,148,444,32,172,148,1,6,9,13,2,1,0,50,0,1112,29,38.34,102692.0,3894,High,High Spender
9256,1971,Graduation,Single,58350.0,0,1,2013-04-01,5,493,26,206,116,80,80,4,8,3,12,6,0,0,53,1,1001,27,37.07,29175.0,3927,Medium,High Spender
10641,1978,Graduation,Single,7500.0,1,1,2012-12-27,5,6,5,4,13,4,25,4,2,1,3,6,0,0,46,2,57,10,5.7,2500.0,4022,Low,Low Spender
624,1984,Master,Single,18890.0,0,0,2012-10-11,5,6,4,1,7,2,15,1,0,1,2,6,1,0,40,0,35,4,8.75,18890.0,4099,Low,Low Spender
4211,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,38,1,57,7,8.14,10212.5,4081,Low,Low Spender
1407,1986,Basic,Married,20425.0,1,0,2012-10-29,5,4,12,5,3,16,17,2,2,0,3,7,0,0,38,1,57,7,8.14,10212.5,4081,Low,Low Spender
10356,1957,PhD,Divorced,41437.0,1,1,2012-09-22,5,29,0,2,0,0,1,1,1,0,3,7,0,0,67,2,32,5,6.4,13812.33,4118,Medium,Low Spender
9323,1949,Master,Together,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,75,1,874,26,33.62,24956.0,4193,Medium,Medium Spender
1146,1949,Master,Together,49912.0,0,1,2012-07-09,5,520,8,223,32,49,42,4,10,5,7,8,1,0,75,1,874,26,33.62,24956.0,4193,Medium,Medium Spender
6343,1959,Graduation,Married,79823.0,0,1,2014-03-31,6,835,73,380,114,73,43,1,6,9,7,2,0,0,65,1,1518,23,66.0,39911.5,3563,High,High Spender
8545,1954,Graduation,Divorced,85683.0,0,0,2014-03-21,6,1296,17,311,45,69,51,1,2,4,10,1,1,0,70,0,1789,17,105.24,85683.0,3573,High,High Spender
8275,1965,PhD,Divorced,47025.0,1,1,2014-09-02,6,16,0,3,0,0,1,1,1,0,2,7,0,0,59,2,20,4,5.0,15675.0,3408,Medium,Low Spender
10673,1976,PhD,Married,68397.0,0,1,2013-11-17,6,760,80,466,17,13,80,1,6,9,5,3,0,0,48,1,1416,21,67.43,34198.5,3697,High,High Spender
